Season,Injury,from,until,Days,Games missed,age,player_name,tm_id,sb_id
22/23,Ankle Injury,2022-08-06,2022-08-18,12.0,2,35.0,João Moutinho,29364,3168
17/18,Knee Injury,2018-03-29,2018-04-05,7.0,2,30.0,João Moutinho,29364,3168
16/17,Knock,2016-10-17,2016-11-21,35.0,6,29.0,João Moutinho,29364,3168
15/16,Ankle Injury,2016-03-17,2016-04-18,32.0,4,28.0,João Moutinho,29364,3168
15/16,Sprained Ankle,2015-08-13,2015-09-14,32.0,6,28.0,João Moutinho,29364,3168
14/15,Sprained Ankle,2015-02-09,2015-02-23,14.0,2,27.0,João Moutinho,29364,3168
13/14,Thigh Problems,2013-08-12,2013-08-26,14.0,2,26.0,João Moutinho,29364,3168
22/23,Thigh Muscle Strain,2022-10-08,2022-10-26,18.0,3,32.0,Romain Saïss,204198,5219
20/21,Knock,2021-01-28,2021-02-06,9.0,2,30.0,Romain Saïss,204198,5219
20/21,Virus Infection,2020-11-09,2020-12-05,26.0,2,30.0,Romain Saïss,204198,5219
19/20,Hamstring Injury,2019-10-08,2019-10-23,15.0,1,29.0,Romain Saïss,204198,5219
19/20,Knock,2019-09-02,2019-09-13,11.0,0,29.0,Romain Saïss,204198,5219
22/23,Hip problems,2022-09-30,2022-11-14,45.0,9,31.0,Raúl Jiménez,206040,5568
22/23,Knee Injury,2022-07-23,2022-08-17,25.0,2,31.0,Raúl Jiménez,206040,5568
20/21,Fitness,2021-02-18,2021-07-16,148.0,14,29.0,Raúl Jiménez,206040,5568
20/21,Fractured Skull,2020-11-30,2021-02-17,79.0,17,29.0,Raúl Jiménez,206040,5568
18/19,Knock,2018-09-09,2018-09-15,6.0,0,27.0,Raúl Jiménez,206040,5568
17/18,Inflamed ligaments of the knee,2017-12-18,2018-01-01,14.0,2,26.0,Raúl Jiménez,206040,5568
16/17,Muscle Injury,2017-03-30,2017-04-19,20.0,4,25.0,Raúl Jiménez,206040,5568
16/17,Sprained ankle,2017-01-29,2017-02-08,10.0,2,25.0,Raúl Jiménez,206040,5568
16/17,Groin Injury,2016-12-30,2017-01-24,25.0,6,25.0,Raúl Jiménez,206040,5568
16/17,Knee Injury,2016-09-04,2016-10-17,43.0,7,25.0,Raúl Jiménez,206040,5568
20/21,Knock,2020-12-16,2021-01-11,26.0,5,25.0,Leander Dendoncker,168157,6331
19/20,Knock,2019-08-31,2019-08-31,0.0,0,24.0,Leander Dendoncker,168157,6331
18/19,Knock,2018-08-09,2018-09-07,29.0,5,23.0,Leander Dendoncker,168157,6331
16/17,groin strain,2016-10-04,2016-10-14,10.0,0,21.0,Leander Dendoncker,168157,6331
15/16,Hamstring Injury,2016-04-01,2016-04-08,7.0,1,20.0,Leander Dendoncker,168157,6331
15/16,Adductors avulsion,2016-01-11,2016-02-22,42.0,7,20.0,Leander Dendoncker,168157,6331
21/22,Medial Collateral Ligament Tear,2022-04-10,2022-07-10,91.0,7,29.0,Matt Doherty,171679,9925
21/22,Unknown Injury,2021-10-13,2021-10-26,13.0,3,29.0,Matt Doherty,171679,9925
20/21,Muscle Injury,2021-04-01,2021-04-30,29.0,5,28.0,Matt Doherty,171679,9925
20/21,Unknown Injury,2021-01-16,2021-01-26,10.0,2,28.0,Matt Doherty,171679,9925
20/21,Corona virus,2020-11-16,2020-11-25,9.0,1,28.0,Matt Doherty,171679,9925
19/20,Knee Injury,2019-08-26,2019-09-13,18.0,2,27.0,Matt Doherty,171679,9925
19/20,Ill,2019-08-21,2019-08-24,3.0,1,27.0,Matt Doherty,171679,9925
18/19,Knock,2019-02-18,2019-02-22,4.0,0,26.0,Matt Doherty,171679,9925
18/19,Facial Fracture,2018-11-12,2018-11-24,12.0,0,26.0,Matt Doherty,171679,9925
18/19,Knock,2018-08-19,2018-08-24,5.0,0,26.0,Matt Doherty,171679,9925
20/21,Quarantine,2020-11-09,2020-11-27,18.0,1,27.0,Conor Coady,128901,9928
22/23,Calf Injury,2022-10-17,2022-12-31,75.0,11,25.0,Diogo Jota,340950,9929
22/23,Hamstring Injury,2022-08-01,2022-09-01,31.0,5,25.0,Diogo Jota,340950,9929
21/22,Ankle Injury,2022-02-14,2022-02-28,14.0,4,24.0,Diogo Jota,340950,9929
20/21,Foot Injury,2021-05-13,2021-05-24,11.0,4,23.0,Diogo Jota,340950,9929
20/21,Bruised Knee,2020-12-07,2021-03-01,84.0,19,23.0,Diogo Jota,340950,9929
19/20,Calf Injury,2020-01-02,2020-01-23,21.0,5,22.0,Diogo Jota,340950,9929
19/20,Ankle Injury,2019-09-23,2019-10-21,28.0,5,22.0,Diogo Jota,340950,9929
18/19,Bruise,2019-01-31,2019-02-25,25.0,5,21.0,Diogo Jota,340950,9929
18/19,Hamstring Injury,2018-12-13,2019-01-14,32.0,7,21.0,Diogo Jota,340950,9929
18/19,Bruise,2018-10-29,2018-11-12,14.0,2,21.0,Diogo Jota,340950,9929
16/17,Ankle Injury,2016-08-18,2016-09-05,18.0,2,19.0,Diogo Jota,340950,9929
15/16,Shoulder Injury,2016-05-05,2016-05-19,14.0,2,18.0,Diogo Jota,340950,9929
21/22,Corona virus,2021-08-13,2021-08-23,10.0,3,31.0,Ryan Bennett,67252,9930
20/21,Calf Injury,2021-02-20,2021-03-08,16.0,5,30.0,Ryan Bennett,67252,9930
20/21,Hamstring Injury,2020-12-30,2021-01-25,26.0,5,30.0,Ryan Bennett,67252,9930
20/21,Hamstring Injury,2020-12-03,2020-12-11,8.0,2,30.0,Ryan Bennett,67252,9930
19/20,Knock,2019-11-11,2019-12-04,23.0,4,29.0,Ryan Bennett,67252,9930
19/20,Groin Strain,2019-10-20,2019-11-09,20.0,5,29.0,Ryan Bennett,67252,9930
